
Global Concordance Metrics: SAIT vs Conover-Iman Rank Transform
Metric                              Value       
Total genes compared                76          
Spearman correlation (p-values)     rho = 0.1155
Both methods significant (p < 0.05) 1 (1.3%)    
SAIT only significant               15 (19.7%)  
Rank test only significant          1 (1.3%)    
Neither significant                 59 (77.6%)  
Concordance rate                    1.3%        
Discordance rate                    21.1%       

Method Agreement Distribution
Agreement.Category  Number.of.Genes Percentage
Both significant    1               1.3%      
SAIT only           15              19.7%     
Rank test only      1               1.3%      
Neither significant 59              77.6%     

Robust Entropic Order Index Interactions: High-Confidence Genes Detected by Both Methods (n=1, ranked by statistical significance)
Gene   SAIT.adj.p Rank.test.adj.p SAIT.Effect Rank.test.rho.2
CXCL12 1.102e-40  1.109e-10       89.8%       0.080          

All Genes with Agreement Classification
Gene            SAIT.p               SAIT.adj.p           Rank.test.p          Rank.test.adj.p      SAIT.Effect       Rank.test.rho.2      Agreement          
USP38           0.238010947599071    0.896341774456394    0.999993228445898    0.999999997545169    0.599089573155884 0.000767184379094271 Neither significant
IFIT3           0.281618954121307    0.896341774456394    0.99768581191921     0.999999997545169    0.249723849739654 0.000392864231853338 Neither significant
TLN2            0.30666441838436     0.896341774456394    0.876607943174427    0.999999997545169    0.419552626789498 0.012468822969411    Neither significant
SLC9A7          0.341048689579732    0.896341774456394    0.997838181933678    0.999999997545169    0.325797145568385 0.000868919302105184 Neither significant
PICALM          0.344076229238145    0.896341774456394    0.999866411539775    0.999999997545169    0.616166286600043 0.000284302672991471 Neither significant
PNPT1           0.354858290705237    0.896341774456394    0.882641432652902    0.999999997545169    0.133196921687059 0.0169643212222502   Neither significant
ZNF710          0.354865957282       0.896341774456394    0.999461913671576    0.999999997545169    0.566569561154733 0.00414543886919462  Neither significant
SLC25A16        0.438716497164214    0.896341774456394    0.977149053499329    0.999999997545169    0.325444631185971 0.00967999588359733  Neither significant
NCF1C           0.442265998994284    0.896341774456394    0.999112805119859    0.999999997545169    0.279735051290668 0.00118145556481826  Neither significant
CCDC149         0.477568530199289    0.896341774456394    0.894074003145509    0.999999997545169    0.471879172779494 0.00874084040810188  Neither significant
VRK2            0.516495539791197    0.896341774456394    0.968751336327515    0.999999997545169    0.819883502915954 0.0087668491638909   Neither significant
PBX2            0.518676789895226    0.896341774456394    0.999999556092561    0.999999997545169    0.41918571016369  0.000558207276416017 Neither significant
CDH24           0.596647523101119    0.896341774456394    0.482847071992989    0.999999997545169    0.243436141639004 0.0171166821303963   Neither significant
ZNF493          0.65457609762122     0.896341774456394    0.832038695181205    0.999999997545169    0.684612605386717 0.0110054366556089   Neither significant
UBP1            0.665927707595246    0.896341774456394    0.999432521606657    0.999999997545169    0.76745957239691  0.00236844899850399  Neither significant
POLR2J4         0.676691924813372    0.896341774456394    0.99487354025719     0.999999997545169    0.187984306589565 0.00788126938452856  Neither significant
IRF3            0.706870026902249    0.896341774456394    0.999115478825113    0.999999997545169    0.62630527218024  0.00480076470349816  Neither significant
ZFP90           0.707821922478459    0.896341774456394    0.999977897203942    0.999999997545169    0.282611953773738 0.00165932997061254  Neither significant
PMEPA1          0.719355984043465    0.896341774456394    0.999999583471808    0.999999997545169    0.472141657146712 8.17488959573925e-05 Neither significant
MCC             0.806804449788243    0.896341774456394    0.999994998666889    0.999999997545169    0.674502015810293 0.000313163693629547 Neither significant
RELCH           0.818668718428514    0.896341774456394    0.999974184111477    0.999999997545169    0.581229664570693 0.000175310659610805 Neither significant
FOXJ2           0.896341774456394    0.896341774456394    0.98220568880829     0.999999997545169    0.693338862949478 0.0134085465052704   Neither significant

