gene	gene_name	transcript_id	pvalue	fdr	rrm_p_interaction	rrm_adj_p_interaction	q_value
ENSG00000130731.17	METTL26	ENST00000397666.6	0.581	0.929311111111111	5.16577748211313e-05	0.00320601708628249	1_00
ENSG00000130731.17	METTL26	ENST00000448973.6	0.589	0.929311111111111	5.16577748211313e-05	0.00320601708628249	1_00
ENSG00000130731.17	METTL26	ENST00000568830.1	0.205	0.929311111111111	5.16577748211313e-05	0.00320601708628249	1_00
ENSG00000130731.17	METTL26	ENST00000614890.4	0.001	0.0355	5.16577748211313e-05	0.00320601708628249	1_00
ENSG00000172016.16	REG3A	ENST00000305165.3	0.519013360739979	0.929311111111111	2.36590317084094e-05	0.0015141780293382	1_00
ENSG00000172016.16	REG3A	ENST00000409839.7	0.488081725312145	0.929311111111111	2.36590317084094e-05	0.0015141780293382	1_00
ENSG00000071243.17	ING3	ENST00000315870.10	1	1	0.00010029270992312	0.00611785530531035	1_00
ENSG00000071243.17	ING3	ENST00000339121.9	0.162	0.929311111111111	0.00010029270992312	0.00611785530531035	1_00
ENSG00000071243.17	ING3	ENST00000427726.5	0.742	0.974070175438597	0.00010029270992312	0.00611785530531035	1_00
ENSG00000071243.17	ING3	ENST00000431467.1	0.462	0.929311111111111	0.00010029270992312	0.00611785530531035	1_00
ENSG00000071243.17	ING3	ENST00000445699.5	0.859	0.97846875	0.00010029270992312	0.00611785530531035	1_00
ENSG00000071243.17	ING3	ENST00000875858.1	0.277	0.929311111111111	0.00010029270992312	0.00611785530531035	1_00
ENSG00000140274.15	DUOXA2	ENST00000323030.6	0.498327759197324	0.929311111111111	2.65547084217704e-11	1.93849371478924e-09	1_00
ENSG00000140274.15	DUOXA2	ENST00000350243.10	0.559	0.929311111111111	2.65547084217704e-11	1.93849371478924e-09	1_00
ENSG00000183018.10	SPNS2	ENST00000329078.8	0.500501504513541	0.929311111111111	5.08891600997221e-05	0.00320601708628249	1_00
ENSG00000183018.10	SPNS2	ENST00000932033.1	0.813	0.97835593220339	5.08891600997221e-05	0.00320601708628249	1_00
ENSG00000181577.16	LINC03040	ENST00000336600.7	1	1	0.000136413149442929	0.00818478896657574	1_00
ENSG00000181577.16	LINC03040	ENST00000439969.3	0.998	1	0.000136413149442929	0.00818478896657574	1_00
ENSG00000181577.16	LINC03040	ENST00000442114.6	0.206	0.929311111111111	0.000136413149442929	0.00818478896657574	1_00
ENSG00000107562.18	CXCL12	ENST00000343575.11	0.709	0.974070175438597	2.02836607725068e-26	1.54155821871051e-24	1_00
ENSG00000107562.18	CXCL12	ENST00000374426.6	0.782	0.974070175438597	2.02836607725068e-26	1.54155821871051e-24	1_00
ENSG00000107562.18	CXCL12	ENST00000374429.6	0.013	0.23075	2.02836607725068e-26	1.54155821871051e-24	1_00
ENSG00000090989.19	EXOC1	ENST00000346134.11	0.041	0.485166666666667	0.000154650093190646	0.00912435549824812	1_00
ENSG00000090989.19	EXOC1	ENST00000381295.7	0.426	0.929311111111111	0.000154650093190646	0.00912435549824812	1_00
ENSG00000090989.19	EXOC1	ENST00000505501.1	0.699	0.974070175438597	0.000154650093190646	0.00912435549824812	1_00
ENSG00000090989.19	EXOC1	ENST00000511971.5	0.882	0.97846875	0.000154650093190646	0.00912435549824812	1_00
ENSG00000090989.19	EXOC1	ENST00000892248.1	0.98	1	0.000154650093190646	0.00912435549824812	1_00
ENSG00000055147.20	FAM114A2	ENST00000351797.9	0.844	0.97846875	8.32514111719993e-10	5.99410160438395e-08	1_00
ENSG00000055147.20	FAM114A2	ENST00000518735.1	0.46	0.929311111111111	8.32514111719993e-10	5.99410160438395e-08	1_00
ENSG00000055147.20	FAM114A2	ENST00000518900.1	0.287	0.929311111111111	8.32514111719993e-10	5.99410160438395e-08	1_00
ENSG00000055147.20	FAM114A2	ENST00000519808.5	0.801	0.97835593220339	8.32514111719993e-10	5.99410160438395e-08	1_00
ENSG00000055147.20	FAM114A2	ENST00000522858.5	0.002	0.0473333333333333	8.32514111719993e-10	5.99410160438395e-08	1_00
ENSG00000055147.20	FAM114A2	ENST00000907997.1	0.777	0.974070175438597	8.32514111719993e-10	5.99410160438395e-08	1_00
ENSG00000196591.13	HDAC2	ENST00000368632.6	0.181	0.929311111111111	6.18559513741788e-09	4.32991659619251e-07	1_00
ENSG00000196591.13	HDAC2	ENST00000425835.6	0.971	1	6.18559513741788e-09	4.32991659619251e-07	1_00
ENSG00000196591.13	HDAC2	ENST00000519108.5	0.849	0.97846875	6.18559513741788e-09	4.32991659619251e-07	1_00
ENSG00000196591.13	HDAC2	ENST00000520746.1	0.119	0.9017	6.18559513741788e-09	4.32991659619251e-07	1_00
ENSG00000196591.13	HDAC2	ENST00000521233.1	0.459	0.929311111111111	6.18559513741788e-09	4.32991659619251e-07	1_00
ENSG00000196591.13	HDAC2	ENST00000916849.1	0.309	0.929311111111111	6.18559513741788e-09	4.32991659619251e-07	1_00
ENSG00000169093.17	ASMTL	ENST00000381317.9	0.496	0.929311111111111	5.95269550122516e-07	4.04783294083311e-05	1_00
ENSG00000169093.17	ASMTL	ENST00000474865.6	0.506	0.929311111111111	5.95269550122516e-07	4.04783294083311e-05	1_00
ENSG00000205268.12	PDE7A	ENST00000396642.7	0.759	0.974070175438597	5.92661768722929e-06	0.000385230149669904	1_00
ENSG00000205268.12	PDE7A	ENST00000401827.8	0.713	0.974070175438597	5.92661768722929e-06	0.000385230149669904	1_00
ENSG00000205268.12	PDE7A	ENST00000522220.1	0.474	0.929311111111111	5.92661768722929e-06	0.000385230149669904	1_00
ENSG00000205268.12	PDE7A	ENST00000523253.1	0.623	0.961586956521739	5.92661768722929e-06	0.000385230149669904	1_00
ENSG00000205268.12	PDE7A	ENST00000935328.1	0.107	0.9017	5.92661768722929e-06	0.000385230149669904	1_00
ENSG00000205268.12	PDE7A	ENST00000935331.1	0.396	0.929311111111111	5.92661768722929e-06	0.000385230149669904	1_00
ENSG00000154096.15	THY1	ENST00000524970.5	0.969	1	1.44320490116056e-13	1.06797162685882e-11	1_00
ENSG00000154096.15	THY1	ENST00000900758.1	0.773	0.974070175438597	1.44320490116056e-13	1.06797162685882e-11	1_00
ENSG00000154096.15	THY1	ENST00000956364.1	0.244	0.929311111111111	1.44320490116056e-13	1.06797162685882e-11	1_00
ENSG00000247092.10	SNHG10	ENST00000554169.4	0.392	0.929311111111111	1.48762916615637e-14	1.11572187461728e-12	1_00
ENSG00000247092.10	SNHG10	ENST00000660378.4	0.544	0.929311111111111	1.48762916615637e-14	1.11572187461728e-12	1_00
ENSG00000247092.10	SNHG10	ENST00000667668.2	0.421	0.929311111111111	1.48762916615637e-14	1.11572187461728e-12	1_00
ENSG00000247092.10	SNHG10	ENST00000685307.3	0.874	0.97846875	1.48762916615637e-14	1.11572187461728e-12	1_00
ENSG00000068305.20	MEF2A	ENST00000559036.5	0.736	0.974070175438597	1.36349348101126e-06	9.13540632277541e-05	1_00
ENSG00000068305.20	MEF2A	ENST00000889128.1	0.689	0.974070175438597	1.36349348101126e-06	9.13540632277541e-05	1_00
ENSG00000068305.20	MEF2A	ENST00000889134.1	0.062	0.628857142857143	1.36349348101126e-06	9.13540632277541e-05	1_00
ENSG00000068305.20	MEF2A	ENST00000889162.1	0.559	0.929311111111111	1.36349348101126e-06	9.13540632277541e-05	1_00
ENSG00000068305.20	MEF2A	ENST00000928335.1	0.127	0.9017	1.36349348101126e-06	9.13540632277541e-05	1_00
ENSG00000274322.1	ENSG00000274322	ENST00000617804.1	0.535	0.929311111111111	3.04862066556683e-07	2.10354825924111e-05	1_00
ENSG00000274322.1	ENSG00000274322	ENST00000618770.1	0.497	0.929311111111111	3.04862066556683e-07	2.10354825924111e-05	1_00
ENSG00000105173.15	CCNE1	ENST00000262643.8	0.455	0.919844444444444	2.15598167438889e-06	0.000142294790509667	1_50
ENSG00000105173.15	CCNE1	ENST00000357943.9	0.623	0.934639344262295	2.15598167438889e-06	0.000142294790509667	1_50
ENSG00000105173.15	CCNE1	ENST00000574121.1	0.47	0.919844444444444	2.15598167438889e-06	0.000142294790509667	1_50
ENSG00000105173.15	CCNE1	ENST00000586912.1	0.797	0.934639344262295	2.15598167438889e-06	0.000142294790509667	1_50
ENSG00000163611.12	SPICE1	ENST00000295872.8	0.505	0.919844444444444	5.48360161540183e-09	3.8933571469353e-07	1_50
ENSG00000163611.12	SPICE1	ENST00000460832.1	0.965	0.992971014492753	5.48360161540183e-09	3.8933571469353e-07	1_50
ENSG00000163611.12	SPICE1	ENST00000496105.1	0.304	0.919844444444444	5.48360161540183e-09	3.8933571469353e-07	1_50
ENSG00000163611.12	SPICE1	ENST00000496859.1	0.024	0.426	5.48360161540183e-09	3.8933571469353e-07	1_50
ENSG00000130731.17	METTL26	ENST00000301686.13	0.49	0.919844444444444	5.16577748211313e-05	0.00320601708628249	1_50
ENSG00000130731.17	METTL26	ENST00000338401.8	0.001	0.0355	5.16577748211313e-05	0.00320601708628249	1_50
