q_0	q_0.222222222222222	q_0.444444444444444	q_0.666666666666667	q_0.888888888888889	q_1.11111111111111	q_1.33333333333333	q_1.55555555555556	q_1.77777777777778	q_2
PNPT1	0	0.0538021893630947	0.101078461809918	0.143397756777399	0.182011515280667	0.217927229906178	0.251965110712846	0.284801888481027	0.317004810498664	0.34905815339888
ZNF714	0	0.00912216242354602	0.0179131626797495	0.0264039829223357	0.0346235735132942	0.0425990186829716	0.0503556894801338	0.0579173850461439	0.0653064631635314	0.0725439609524892
SLC9A7	0	0.000249188321530916	0.000484577324614088	0.000707026738846705	0.000917339592845456	0.00111626609313764	0.00130450723086373	0.00148271813570502	0.00165151119515612	0.00181145895582535
DNAJC24	0	0.00257841826338551	0.00513909883056443	0.00769238544747996	0.0102481392125651	0.0128158339937481	0.0154046430310346	0.0180235180019731	0.0206812616792036	0.0233865951810905
TLN2	3.33066907387547e-16	0.0208252093186926	0.0441134845159872	0.0706119732860841	0.101266061396712	0.137279881757109	0.18019565410511	0.231997926010419	0.295250781435141	0.373278745754578
ZNF398	0	0	0	0	0	0	0	0	0	0
SRP72	0	0.000742396692803928	0.00152093775018987	0.00233790211520546	0.00319572612005303	0.00409701505473991	0.00504455562185546	0.0060413293473482	0.00709052702277419	0.00819556426059798
NSA2	0	0.000839666732733866	0.00170441771550895	0.00259534022612329	0.00351356905692102	0.00446028872387605	0.00543673578101522	0.00644420124537981	0.00748403313787843	0.00855763914573426
THY1	0	0.00253062874533324	0.00509352971442132	0.00770012130433173	0.0103627411490906	0.0130947734353668	0.0159107910099465	0.0188267141860801	0.0218599883981524	0.0250297831282693
PICALM	1.11022302462516e-16	0.00318908387684044	0.00634588252274089	0.00949493631596621	0.012659998172327	0.0158643709445203	0.0191312291250059	0.0224839302133901	0.0259463208031604	0.0295430422278335
GLB1L2	0	0.00116371121441367	0.00237179961047598	0.00362652567839905	0.00493027141803936	0.00628554720273833	0.00769499904370008	0.0091614162787927	0.0106877397112285	0.0122770702250379
SNHG10	0	0.00307874082647988	0.00623484598911983	0.00947943098429227	0.0128246354222781	0.0162837539505012	0.019871383972738	0.0236035924485838	0.0274981043740567	0.0315745159058123
MEF2A	0	0.015631465866583	0.0316123941240227	0.0480396703522855	0.0650165835264752	0.0826538475095968	0.101070724503918	0.120396264388334	0.14077067550598	0.162346844318465
GIPR	0	0.0301828905130254	0.0579244974290185	0.0836218643216496	0.107619411524006	0.130216878167537	0.151676086188199	0.172226706969579	0.192071183402013	0.211388936610154
