	gene	n_q_values_tested	f_statistic	p_value	adj_p_value	ss_interaction	ss_residual	df_interaction	df_residual	effect_size_eta2	interaction_class	test_method	heteroscedastic	boundary_clustered	highly_skewed
44	PMEPA1	10	0.00782450465313934	0.999999994032363	1	3.44641035292976	7.14572392985181	9	150	0.32537449591554	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
45	SRP72	10	0.217562900348356	0.991581812620548	1	0.854708832327199	1.79375002174539	9	150	0.322719316938942	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
46	A4GALT	10	0.118543226181696	0.999202839359891	1	3.24325573884622	6.83680419051503	9	150	0.321749648471756	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
47	SLC9A7	10	0.0186016924777329	0.999999718201988	1	4.76572377699987	10.2433365405804	9	150	0.317523127774876	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
48	EPB41L4A-AS1	10	0.196278751323465	0.994261818649411	1	0.906127561046427	2.00085165930441	9	150	0.31170761548721	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
49	GSKIP	10	0.0661130808183877	0.999929523997301	1	5.06264624423294	11.268943939836	9	150	0.309991016623196	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
50	TMEM183A	10	0.265182617595497	0.982827104895816	1	0.404050817200024	0.933961202896451	9	150	0.301978465911607	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
51	SPNS2	10	0.0804923530081999	0.99983837239184	1	6.60966262369378	15.2941116346253	9	150	0.301759073379028	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
52	CCNE1	10	0.565101871624002	0.823774689850187	1	2.04021458593165	4.80315671675257	9	150	0.298130043759485	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
53	HIGD1A	10	0.78207581223748	0.633230995421064	1	2.30344653901628	5.46767993639507	9	150	0.29641089310599	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
54	SLC25A16	10	0.244561305498546	0.987118461585652	1	0.272054356408771	0.667102733953424	9	150	0.289679287097594	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
55	ZNF493	10	0.222036042728349	0.99092790590517	1	0.043441604598576	0.107481724835755	9	150	0.287838896487359	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
56	POLR2J4	10	0.0713536123509209	0.999902653933747	1	0.147271468681072	0.409806285003691	9	150	0.264364296917176	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
57	SH3PXD2A	10	0.0215606791895416	0.999999458726987	1	1.69085600719815	5.11438827813383	9	150	0.248463675410246	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
58	EXOC1	10	0.21495796808566	0.991947637286187	1	0.713562171405998	2.1704319413759	9	150	0.247421507638827	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
59	PDE7A	10	0.0455780187545292	0.999985687267931	1	0.288047135100411	0.879956806263265	9	150	0.246614865669125	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
60	ENSG00000291072	10	0.0563310685009361	0.9999643904236	1	0.269372106089578	0.825381843385192	9	150	0.246057213329822	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
61	CCDC149	10	0.382931672354194	0.941722800449915	1	0.546051350999064	1.76461804078339	9	150	0.236317386182988	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
62	ZNF714	10	0.570954991796892	0.819107814579887	1	0.720079489047561	2.62773686178566	9	150	0.215089304067812	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
63	ENSG00000254706	10	0.165388399703019	0.997015729726492	1	2.88018569990674	10.8521308125818	9	150	0.209737788761817	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
64	DUOXA2	10	0.000458257889920778	0.999999999999982	1	4.51398297607564	17.2052850282442	9	150	0.207833108149769	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
65	NCF1C	10	0.0580406703446512	0.999959531321845	1	1.85546870320313	7.42940570411797	9	150	0.199837781514858	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
66	CDH24	10	0.414867180126536	0.925514560024963	1	1.35164926334143	5.74327600949701	9	150	0.190509302263684	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
67	LINC02362	10	0.0587422554093577	0.99995739895763	1	0.186412914166464	0.79570208118151	9	150	0.189807624412064	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
68	USP38	10	0.0255586014427269	0.999998854278667	1	0.129088161750481	0.553610970195669	9	150	0.189084994706955	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
69	FBXO3	10	0.026139334928725	0.999998735251817	1	0.0918415768870689	0.416367076955349	9	150	0.180716279017843	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
70	PLP1	10	0.568948634244886	0.820712280155073	1	2.88619670009055	14.3271056009444	9	150	0.167672457592116	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
71	PNPT1	10	0.295932211086218	0.974890963399364	1	0.82367127398721	4.49259412794196	9	150	0.154934190021498	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
72	ING3	10	0.733667592760084	0.677477196008771	1	0.128791419798067	0.713367973156474	9	150	0.152929980803549	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
73	TMEM38A	10	0.027840162461116	0.999998331516383	1	1.10592973381236	7.70011644496542	9	150	0.125587546483416	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
74	IFIT3	10	0.00734898934209947	0.999999995491014	1	1.09277050133887	11.5404655993397	9	150	0.0864996500208028	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
75	GIPR	10	0.0290560009596924	0.999997987192076	1	0.47261994849547	6.18242025334014	9	150	0.0710168434993241	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
76	REG3A	10	0.0294563505282682	0.999997862683989	1	0.943302459808914	13.3454607366216	9	150	0.0660170825732883	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
77	SYNM	10	0.0156969320044668	0.999999867246612	1	0.96079756151313	23.9145918639799	9	150	0.0386244229217364	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
