	gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	model_used	fallback_level	correlation_structure	test_type	weights_source	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
33	METTL26	0.0119066469333011	0.0119066469333011	160	16	160	NA	3.79063754658258	0.330108892676441	138	TRUE	-0.0114422692820057	FALSE	FALSE	Gaussian	FALSE	3.41348928484815	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	2.43842019988584e-09	FALSE	160	FALSE	0.523892465065249	ENSG00000130731.17	METTL26
34	PPP1R2	0.0142953054403392	0.0142953054403392	160	16	160	NA	3.64807759905571	0.446523213529978	138	TRUE	-0.0582561822359155	FALSE	FALSE	Gaussian	TRUE	2.79376184231491	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	1.95930193381204e-10	FALSE	160	TRUE	0.614698133934585	ENSG00000184203.9	PPP1R2
35	EPB41L4A-AS1	0.0162288780330246	0.0162288780330246	160	16	160	NA	3.54916703315887	0.056768658473884	138	TRUE	-0.0352727775872374	FALSE	FALSE	Gaussian	FALSE	1.82365453739307	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	0.000239559954133766	FALSE	160	FALSE	0.681612877387035	ENSG00000224032.10	EPB41L4A-AS1
36	GLB1L2	0.0239927914638346	0.0239927914638346	160	16	160	NA	3.24425974134151	0.844123989866424	138	TRUE	-0.0373753386094304	FALSE	FALSE	Gaussian	FALSE	11.2836571948299	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	1.53228645589383e-12	FALSE	160	FALSE	0.983035972339837	ENSG00000149328.17	GLB1L2
37	NCF1C	0.0405264890384018	0.0405264890384018	160	16	160	NA	2.83474667500383	0.0203801167662735	138	TRUE	-0.032469977644826	FALSE	FALSE	Gaussian	TRUE	1.3328241210801	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	0.00969804696481611	FALSE	160	TRUE	0.983035972339837	ENSG00000296524.1	NCF1C
38	SLC25A16	0.0437327964589164	0.0437327964589164	160	16	160	NA	2.77514289656041	0.136350231840574	138	TRUE	-0.0280781614075685	FALSE	FALSE	Gaussian	TRUE	9.05732836443875	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	9.54396623730004e-05	FALSE	160	TRUE	0.983035972339837	ENSG00000122912.16	SLC25A16
39	TMEM38A	0.0560649254605015	0.0560649254605015	160	16	160	NA	2.58037177349044	0.0892447935013574	138	TRUE	0.0412885541352455	FALSE	FALSE	Gaussian	FALSE	1.28989341458561	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	6.75408895483665e-11	FALSE	160	FALSE	0.983035972339837	ENSG00000072954.8	TMEM38A
40	CCDC149	0.0627865933669706	0.0627865933669706	160	16	160	NA	2.49139771399817	0.121066154046277	138	TRUE	0.0295744827787662	FALSE	FALSE	Gaussian	TRUE	1.93072747841533	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	6.65486409439143e-10	FALSE	160	TRUE	0.983035972339837	ENSG00000181982.21	CCDC149
41	HIGD1A	0.0662193887468105	0.0662193887468105	160	16	160	NA	2.44952021239605	0.439185648210913	138	TRUE	-0.0622078921342006	FALSE	FALSE	Gaussian	TRUE	1.48123098599905	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	3.42372758246257e-13	FALSE	160	TRUE	0.983035972339837	ENSG00000181061.15	HIGD1A
42	SPIRE2	0.0675746414522886	0.0675746414522886	160	16	160	NA	2.4335731073947	0.523369483707307	138	TRUE	-0.0153747545333164	FALSE	FALSE	Gaussian	FALSE	1.47451398710024	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	3.72839351943679e-07	FALSE	160	FALSE	0.983035972339837	ENSG00000204991.12	SPIRE2
43	SAR1B	0.0779741328802599	0.0779741328802599	160	16	160	NA	2.32074538366658	0.242295681307312	138	TRUE	0.0243326674833968	FALSE	FALSE	Gaussian	TRUE	2.70155181307807	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	2.29552579056798e-07	FALSE	160	TRUE	0.983035972339837	ENSG00000152700.15	SAR1B
44	CYBB	0.0898560232734902	0.0898560232734902	160	16	160	NA	2.20865564462744	0.314220519695904	138	TRUE	0.0447430497820053	FALSE	FALSE	Gaussian	TRUE	2.27714209721291	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	1.77480135751236e-11	FALSE	160	TRUE	0.983035972339837	ENSG00000165168.10	CYBB
45	GSKIP	0.104469122436801	0.104469122436801	160	16	160	NA	2.08918924229095	0.0491909683640873	138	TRUE	-0.0753821745045463	FALSE	FALSE	Gaussian	TRUE	1.98438154795281	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	1.00663062680071e-13	FALSE	160	TRUE	0.983035972339837	ENSG00000100744.16	GSKIP
46	DNAJC24	0.114229331554318	0.114229331554318	160	16	160	NA	2.01816235308241	0.483734731907726	138	TRUE	0.0145710102232074	FALSE	FALSE	Gaussian	FALSE	4.30653978761254	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	1.54448071198318e-09	FALSE	160	FALSE	0.983035972339837	ENSG00000170946.16	DNAJC24
47	ANGEL2	0.12495668489338	0.12495668489338	160	16	160	NA	1.94660241349723	0.245008781595521	138	TRUE	-0.011998873552887	FALSE	FALSE	Gaussian	TRUE	10.2590245747221	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	7.72066833573372e-12	FALSE	160	TRUE	0.983035972339837	ENSG00000174606.15	ANGEL2
48	POLR2J4	0.155622051994758	0.155622051994758	160	16	160	NA	1.77074596089868	0.133727920494233	138	TRUE	0.0228767521997225	FALSE	FALSE	Gaussian	TRUE	12.8270942783776	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	0.000148614258052045	FALSE	160	TRUE	0.983035972339837	ENSG00000290758.3	POLR2J4
49	SH3PXD2A	0.156984884763145	0.156984884763145	160	16	160	NA	1.76372979300243	0.207164271410416	138	TRUE	0.0413156424889457	FALSE	FALSE	Gaussian	FALSE	3.20295671481669	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	2.55092904773682e-16	FALSE	160	FALSE	0.983035972339837	ENSG00000107957.17	SH3PXD2A
50	VRK2	0.18770727147609	0.18770727147609	160	16	160	NA	1.61932518705321	0.498842479747492	138	TRUE	-0.0168891350821517	FALSE	FALSE	Gaussian	FALSE	38.2259345245775	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	4.31369028457845e-11	FALSE	160	FALSE	0.983035972339837	ENSG00000028116.19	VRK2
51	CDH24	0.189892708347453	0.189892708347453	160	16	160	NA	1.60993162826609	0.22352081837061	138	TRUE	-0.0396857045508689	FALSE	FALSE	Gaussian	TRUE	1.28971780880113	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	4.15074925192632e-06	FALSE	160	TRUE	0.983035972339837	ENSG00000139880.21	CDH24
52	ENSG00000254706	0.239771354499204	0.239771354499204	160	16	160	NA	1.41939134032532	0.176747795224592	138	TRUE	0.0411717813155812	FALSE	FALSE	Gaussian	FALSE	1.15820818805101	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	2.12390018897114e-08	FALSE	160	FALSE	0.983035972339837	ENSG00000254706.3	ENSG00000254706
53	CCNE1	0.278328583417748	0.278328583417748	160	16	160	NA	0.0608296598915476	0.324552317129152	145.999999975944	TRUE	-0.0632312330814053	FALSE	FALSE	Gaussian	FALSE	1	mgcv::gamm	gam_independence	4	none	anova_Chisq	none	0.00100309718313506	FALSE	150	FALSE	0.983035972339837	ENSG00000105173.15	CCNE1
54	ENSG00000291072	0.292700428531683	0.292700428531683	160	16	160	NA	1.25408351790264	0.0794201013730452	138	TRUE	0.00979082863374708	FALSE	FALSE	Gaussian	TRUE	1.9321044227782	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	2.03410246944789e-05	FALSE	160	TRUE	0.983035972339837	ENSG00000291072.2	ENSG00000291072
55	NSA2	0.294190261504867	0.294190261504867	160	16	160	NA	1.24984149448369	0.189530769752537	138	TRUE	0.0280800176195531	FALSE	FALSE	Gaussian	FALSE	2.10347666514919	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	2.88647123095653e-10	FALSE	160	FALSE	0.983035972339837	ENSG00000164346.11	NSA2
56	ZNF710	0.301999830970064	0.301999830970064	160	16	160	NA	1.2279205919487	0.362980709918249	138	TRUE	0.0124193472286158	FALSE	FALSE	Gaussian	TRUE	64.8645389972555	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	1.94066089847895e-11	FALSE	160	TRUE	0.983035972339837	ENSG00000140548.11	ZNF710
