q_0.01	q_0.05	q_0.1	q_0.15	q_0.2	q_0.25	q_0.3	q_0.35	q_0.4	q_0.45	q_0.5	q_0.55	q_0.6	q_0.65	q_0.7	q_0.75	q_0.8	q_0.85	q_0.9	q_0.95	q_1	q_1.05	q_1.1	q_1.15	q_1.2	q_1.25	q_1.3	q_1.35	q_1.4	q_1.45	q_1.5	q_1.55	q_1.6	q_1.65	q_1.7	q_1.75	q_1.8	q_1.85	q_1.9	q_1.95	q_2
CYP2W1	0.108900375788538	0.116593201815259	0.126465267263113	0.136561547636562	0.146813038475412	0.157147500836597	0.16749098540303	0.17776931992124	0.187909498188608	0.197840922714532	0.207496468924182	0.216813354473297	0.225733811359276	0.234205569998956	0.242182172771123	0.24962313963439	0.256494010629939	0.262766289893059	0.268417313860878	0.273430063312103	0.277792935276812	0.280098380274132	0.276624511573861	0.272459863579907	0.267634913945301	0.262186663422312	0.256158081971746	0.249597422112899	0.24255741784535	0.235094392311538	0.227267301135897	0.219136740809926	0.21076395243084	0.202209850498974	0.193534104409771	0.184794296924012	0.17604517953681	0.167338039622847	0.15872018886812	0.150234577154675	0.141919531054737
NFKBIB	0.0185323114961743	0.0194627825493507	0.0205970815131619	0.0216871777867857	0.0227204663834174	0.0236851521835678	0.0245705279394157	0.0253672027586568	0.0260672743228965	0.026664442274178	0.0271540640099893	0.0275331572490091	0.027800355992179	0.027955827865587	0.0280011613618434	0.0279392313382107	0.0277740504629732	0.0275106133118977	0.0271547386711446	0.0267129144363582	0.026192148406785	0.0254724093434337	0.0242489958549538	0.0230082225928654	0.0217587587456704	0.0205090606691879	0.0192672499440588	0.0180410006656655	0.0168374390197906	0.015663057758041	0.0145236476174911	0.013424247061727	0.0123691109959976	0.0113616983723676	0.0104046778966715	0.00949995041881425	0.00864868606524316	0.00785137378088338	0.00710788069980724	0.00641751866030924	0.00577911521151003
ING3	0.00717018923627774	0.00762667413263798	0.00820007635836637	0.00877131056421246	0.00933459349681139	0.0098841366251177	0.0104142814368697	0.0109196252212292	0.0113951324967439	0.0118362286403244	0.0122388737398072	0.0125996160743022	0.0129156258062299	0.0131847103772538	0.013405313713582	0.0135765016789073	0.013697936306473	0.0137698412507933	0.0137929606833897	0.0137685135702809	0.0136981449573532	0.0135162645873934	0.0130541276188802	0.0125653980218607	0.0120541965986032	0.0115247901722733	0.010981520182994	0.0104287305131364	0.00987069665799139	0.00931155831602348	0.00875525732843468	0.00820548265828503	0.00766562377980623	0.00713873346981833	0.00662750058038221	0.00613423295176257	0.0056608502234336	0.00520888594114236	0.00477949805801922	0.00437348669947996	0.00399131791089113
HIGD1A	0.116268555618304	0.122624435070157	0.13051043970954	0.138260264238116	0.145798834380384	0.153053584285873	0.159956062321257	0.166443317170678	0.172459019964428	0.177954299621951	0.182888288853904	0.187228395505151	0.190950327010778	0.194037904259629	0.196482705298211	0.198283579683085	0.199446071771138	0.199981786769915	0.199907727842935	0.199245626723961	0.198021284702813	0.195287071739358	0.18860327593126	0.181626658408237	0.174405611246097	0.166989961422869	0.159430227681014	0.151776865156218	0.144079518950444	0.136386307828459	0.12874315817057	0.121193206263145	0.113776284074916	0.106528500041848	0.0994819223074872	0.0926643676066897	0.0860992948076843	0.0798057982865324	0.0737986930024681	0.0680886805186349	0.0626825833531277
DUOXA2	0.663739298002854	0.661887184674485	0.659697404056162	0.65758636074497	0.655487736569895	0.653334947282336	0.651062409684475	0.6486067232068	0.645907725721698	0.64290939606944	0.639560588695953	0.635815597610474	0.631634556599021	0.626983689749192	0.621835430740155	0.616168431248214	0.609967478654623	0.603223341570549	0.595932559081533	0.588097186573811	0.57972450795509	0.567985546500731	0.545787043306374	0.523691240835863	0.501704743743174	0.479846648908839	0.458146558346644	0.436642587908606	0.415379395917502	0.394406260562257	0.373775237526294	0.353539429767664	0.333751399675319	0.314461750186833	0.295717896205557	0.277563041240049	0.260035367106652	0.243167437301295	0.226985807739915	0.211510832398136	0.196756646260798
CCDC149	0.00996461628758995	0.0105825243613917	0.011355987863324	0.0121233359843953	0.0128766103950553	0.0136079094321724	0.0143095740671677	0.0149743585636037	0.0155955793822924	0.0161672379082665	0.0166841146512535	0.0171418344959067	0.0175369041938163	0.0178667245076625	0.0181295802143214	0.0183246115760977	0.0184517709604314	0.0185117681095146	0.0185060072164956	0.0184365185311329	0.0183058867576339	0.0180270034688658	0.0173761437629446	0.0166925039815892	0.0159817509310715	0.0152496991246476	0.0145022148830484	0.0137451205919767	0.0129841018994129	0.0122246205349145	0.0114718351999974	0.0107305326256589	0.0100050704420131	0.00929933298515636	0.0086167006117601	0.00796003253789256	0.00733166269883029	0.0067334076700295	0.00616658531800723	0.00563204257747542	0.00513019058300661
FAXDC2	0.161388694377773	0.170877151383159	0.18279612472723	0.194688841943969	0.20645675635237	0.218002530818985	0.229232128560473	0.2400566705882	0.250393996111236	0.260169888504563	0.269318955045396	0.277785171078978	0.285522116967372	0.292492948345861	0.298670146889097	0.304035100593756	0.308577560503411	0.312295015970859	0.315192024084876	0.317279521749457	0.318574141854366	0.317509304889221	0.309996248453274	0.301892189422205	0.293250966109989	0.284130855364714	0.274593739271376	0.264704192708801	0.254528516315048	0.244133742074612	0.233586640097682	0.222952755099055	0.212295499594311	0.201675328016871	0.191149012025797	0.18076903250432	0.170583098476972	0.160633797750096	0.150958378842564	0.141588659013652	0.132551049142396
THOC6	0.030756007577951	0.0322947391945733	0.0341719348492387	0.0359779326624202	0.0376922487487235	0.039295704597753	0.0407708734681506	0.0421024466760097	0.0432775091519145	0.0442857203759718	0.0451194029136939	0.0457735457674944	0.0462457333529623	0.0465360130463678	0.046646715046334	0.0465822379834007	0.046348812590108	0.0459542541120655	0.0454077122672527	0.0447194256635597	0.0439004858188885	0.0427487766458328	0.0407506905205458	0.0387207523744945	0.0366729761483046	0.0346210950011505	0.0325783632647159	0.0305573714950678	0.0285698796711661	0.0266266729527817	0.0247374435538165	0.0229107012579174	0.0211537139643859	0.0194724784746069	0.0178717205853028	0.0163549225127236	0.0149243747884847	0.0135812490850002	0.0123256879703608	0.0111569073648195	0.0100733074626206
POLR2J4	0.0155245465372144	0.0165477772255822	0.0178390177238858	0.0191324159299105	0.0204153454668444	0.0216750330901441	0.0228988540499366	0.0240746112578503	0.0251907872576145	0.0262367608547338	0.0272029833423505	0.0280811122276748	0.0288641029523766	0.0295462611451463	0.030123259377351	0.0305921232291907	0.0309511917900783	0.0312000576240792	0.0313394908518155	0.0313713514509002	0.0312984932568797	0.0309697458041989	0.0299952086986066	0.02895390670627	0.027854790885264	0.0267072523989774	0.0255209629260488	0.0243057105328191	0.0230712358610808	0.0218270734974549	0.0205824031637411	0.0193459149107322	0.0181256918398534	0.0169291130614146	0.0157627786802991	0.0146324576403709	0.0135430583186907	0.0124986208953266	0.0115023297797826	0.0105565437836115	0.00966284130893758
SYNM	0.944286491999447	0.946876024779747	0.949717425612326	0.952072260952641	0.953893953986822	0.955140546613345	0.955775062626585	0.95576569015361	0.955085801210927	0.953713835292867	0.951633079323963	0.948831378092806	0.945300807855766	0.941037341866103	0.936040530990989	0.930313216164708	0.923861282924121	0.916693462252004	0.908821176802139	0.900258427511899	0.891021712694628	0.876744323272903	0.846361301880282	0.816091145808838	0.785924987380317	0.755870637919541	0.725950569255309	0.696199814945163	0.666663816701107	0.637396248809355	0.608456858591733	0.579909363831879	0.551819448443099	0.524252895534662	0.497273892672665	0.470943537923269	0.445318567720299	0.42045031929148	0.396383931893016	0.373157782983907	0.350803148178239
