	gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
11	SRP72	1.12541704064407e-09	1.12541704064407e-09	648	8	648	NA	0.179667661016403	0.30458707395895	642.100212981642	TRUE	0.0524708215805398	TRUE	FALSE	Gaussian	FALSE	1.12021138704678	mgcv::gamm_arima(1,1,0)	0.00141374303144061	FALSE	648	FALSE	7.42775246825084e-08	ENSG00000174780.18	SRP72
12	SYNM	3.17686182061874e-09	3.17686182061874e-09	648	8	648	NA	0.00772846688477294	0.238719949934675	643.999996519838	TRUE	0.0118245851168302	TRUE	FALSE	Gaussian	FALSE	1.03597328414639	mgcv::gamm_arima(1,1,0)	2.3009659555453e-12	FALSE	648	FALSE	2.06496018340218e-07	ENSG00000182253.15	SYNM
13	TMEM183A	1.04823368571226e-07	1.04823368571226e-07	648	8	648	NA	0.430588183823906	0.170333929131236	643.999999969853	TRUE	-0.0882612991693059	TRUE	FALSE	Gaussian	FALSE	4.31184379960169	mgcv::gamm_arima(1,1,0)	1.32443795740943e-07	FALSE	648	FALSE	6.70869558855849e-06	ENSG00000163444.13	TMEM183A
14	CENPV	2.53830249783151e-07	2.53830249783151e-07	648	8	648	NA	0.115477606405056	0.279165471522262	642.13279728444	TRUE	0.0407998232372472	TRUE	FALSE	Gaussian	FALSE	13.1090317831902	mgcv::gamm_arima(1,1,0)	1.20920152939351e-05	FALSE	648	FALSE	1.59913057363385e-05	ENSG00000166582.12	CENPV
15	SNHG10	6.16740323403537e-07	6.16740323403537e-07	648	8	648	NA	0.553563646961418	0.0601456252318758	641.619797000679	TRUE	0.086403846994524	TRUE	FALSE	Gaussian	TRUE	1.69027256391749	mgcv::gamm_arima(1,1,0)	9.79902623297074e-12	FALSE	648	FALSE	3.82379000510193e-05	ENSG00000247092.10	SNHG10
16	UBP1	9.04299189485309e-07	9.04299189485309e-07	648	8	648	NA	0.223320534138696	0.068905546568765	643.956509776641	TRUE	0.0634756854414809	TRUE	FALSE	Gaussian	TRUE	1.50031158000769	mgcv::gamm_arima(1,1,0)	7.0601757874637e-06	FALSE	648	FALSE	5.51622505586039e-05	ENSG00000153560.13	UBP1
17	FAXDC2	1.08494070092841e-06	1.08494070092841e-06	648	8	648	NA	0.638128100521801	0.0887640937999802	643.850708643474	TRUE	-0.106794672223397	TRUE	FALSE	Gaussian	TRUE	1.87352333775634	mgcv::gamm_arima(1,1,0)	1.39743381740252e-05	FALSE	648	FALSE	6.50964420557045e-05	ENSG00000170271.12	FAXDC2
18	ATG5	3.83411936208659e-06	3.83411936208659e-06	648	8	648	NA	0.154401558142067	0.436399851140021	641.778514470809	TRUE	-0.040678620972815	TRUE	FALSE	Gaussian	TRUE	4.22513562369392	mgcv::gamm_arima(1,1,0)	1.46378277964228e-15	FALSE	648	FALSE	0.000226213042363109	ENSG00000057663.17	ATG5
19	GLB1L2	6.59423234436854e-06	6.59423234436854e-06	648	8	648	NA	0.433020935728727	0.180824532298209	642.697953256698	TRUE	0.0832353222606397	TRUE	FALSE	Gaussian	FALSE	10.9242122169456	mgcv::gamm_arima(1,1,0)	3.45507086210203e-08	FALSE	648	FALSE	0.000382465475973376	ENSG00000149328.17	GLB1L2
20	ETFRF1	6.60803191287486e-06	6.60803191287486e-06	648	8	648	NA	0.490286439968795	0.403073726570511	642.830733281878	TRUE	-0.0884024219851343	TRUE	FALSE	Gaussian	TRUE	10.1616442777741	mgcv::gamm_arima(1,1,0)	2.76467991185531e-11	FALSE	648	FALSE	0.000382465475973376	ENSG00000205707.12	ETFRF1
