gene	p_value_interaction	slope_diff	effect_size_D_q0_01	effect_size_D_q0_05	effect_size_D_q0_1	effect_size_D_q0_15	effect_size_D_q0_2	effect_size_D_q0_25	effect_size_D_q0_3	effect_size_D_q0_35	effect_size_D_q0_4	effect_size_D_q0_45	effect_size_D_q0_5	effect_size_D_q0_55	effect_size_D_q0_6	effect_size_D_q0_65	effect_size_D_q0_7	effect_size_D_q0_75	effect_size_D_q0_8	effect_size_D_q0_85	effect_size_D_q0_9	effect_size_D_q0_95	effect_size_D_q1	effect_size_D_q1_05	effect_size_D_q1_1	effect_size_D_q1_15	effect_size_D_q1_2	effect_size_D_q1_25	effect_size_D_q1_3	effect_size_D_q1_35	effect_size_D_q1_4	effect_size_D_q1_45	effect_size_D_q1_5	effect_size_D_q1_55	effect_size_D_q1_6	effect_size_D_q1_65	effect_size_D_q1_7	effect_size_D_q1_75	effect_size_D_q1_8	effect_size_D_q1_85	effect_size_D_q1_9	effect_size_D_q1_95	effect_size_D_q2	per_q_pattern	div_rare_median	div_abundant_median	q_ratio
SRPRA	0.000382465475973376	0.107767837352815	0.0203498592206959	0.0215647430478436	0.0230788303216944	0.0245732595793897	0.0260322542387349	0.027440310285734	0.0287825613652248	0.0300451078181034	0.0312152976585662	0.0322819517087434	0.033235529348196	0.0340682351732743	0.034774070002609	0.0353488319562106	0.0357900747524389	0.0360970309866495	0.0362705081207274	0.0363127643976486	0.0362273710745552	0.0360190663970172	0.0356936057402542	0.0350821237622178	0.0337516405802749	0.0323637243553032	0.0309295172869224	0.0294603559732421	0.0279675886538467	0.0264623947122302	0.0249556116264206	0.0234575742987647	0.0219779711944524	0.0205257210006058	0.0191088726278757	0.0177345303717883	0.0164088049965151	0.0151367904658091	0.0139225650865339	0.012769215001722	0.0116788773109809	0.0106527996291404	0.00969141262604462	Rare driven	0.0327587405284697	0.0212518460975291	1.54145387549548
SLC25A16	0.000437954817987008	0.0580461859865894	0.00243372493127398	0.00258194606798689	0.00276705106386748	0.002950186720045	0.0031294268356071	0.00330286900394855	0.00346867953053136	0.00362513429299598	0.00377065402327568	0.00390383299403897	0.00402346060326848	0.00412853581955547	0.00421827483968308	0.00429211259908271	0.00434969896016858	0.00439089049142329	0.00441573875769753	0.00442447598992185	0.00441749891118625	0.00439535138472197	0.00435870643290821	0.00428690413293466	0.00412694089901815	0.00395960816729643	0.00378627564075379	0.003608341044712	0.00342720730753804	0.00324425995024487	0.0030608453383888	0.0028782504194906	0.00269768450824318	0.00252026359335905	0.00234699752951935	0.0021787803526295	0.00201638382460999	0.00186045418357964	0.00171151195435965	0.00156995456933828	0.00143606146582122	0.00131000126600203	0.00119184061056708	Rare driven	0.00396364679865372	0.00260897405080112	1.51923580743804
CYP2W1	0.000950946383296993	0.182606442550505	0.108900375788538	0.116593201815259	0.126465267263113	0.136561547636562	0.146813038475412	0.157147500836597	0.16749098540303	0.17776931992124	0.187909498188608	0.197840922714532	0.207496468924182	0.216813354473297	0.225733811359276	0.234205569998956	0.242182172771123	0.24962313963439	0.256494010629939	0.262766289893059	0.268417313860878	0.273430063312103	0.277792935276812	0.280098380274132	0.276624511573861	0.272459863579907	0.267634913945301	0.262186663422312	0.256158081971746	0.249597422112899	0.24255741784535	0.235094392311538	0.227267301135897	0.219136740809926	0.21076395243084	0.202209850498974	0.193534104409771	0.184794296924012	0.17604517953681	0.167338039622847	0.15872018886812	0.150234577154675	0.141919531054737	Balanced	0.202668695819357	0.223202020972911	0.908005648586637
IRF3	0.00103871874965927	-0.0382338247803777	0.0242303494267038	0.0255955142419379	0.0272869082505709	0.0289450323760661	0.0305523132336876	0.0320917386071297	0.0335472537716159	0.0349041081851298	0.0361491407195961	0.0372709966660151	0.0382602746358208	0.0391096057425212	0.0398136707876326	0.0403691634636669	0.0407747088412295	0.0410307467532057	0.041139389317868	0.0411042609703444	0.0409303282059374	0.0406237249570294	0.0401915782647893	0.0394445285125121	0.037897571009085	0.0362952955824109	0.0346497824564999	0.0329732269948858	0.0312777515458279	0.0295752211761208	0.0278770684848907	0.0261941323879933	0.0245365152209397	0.022913461752821	0.0213332627815837	0.0198031849509611	0.0183294273574282	0.0169171044686884	0.0155702539153675	0.0142918668963797	0.0130839382933566	0.0119475331420259	0.0108828658636647	Rare driven	0.037765635650918	0.0237249884868804	1.59180838683239
SPIRE2	0.00107608168068652	0.0386354210191823	0.0354204899910181	0.0371078716862515	0.0391641488312461	0.0411411365117063	0.0430178556343074	0.0447747924752964	0.046394327568196	0.0478610784624187	0.0491621477770815	0.0502872748263185	0.0512288951256683	0.0519821168388579	0.0525446264624013	0.0529165377637631	0.053100198351435	0.0530999675360626	0.0529219776621306	0.0525738891665274	0.052064647529809	0.0514042482436056	0.0506035140723729	0.0494266455750198	0.047273143615548	0.0450795655168662	0.042859907142176	0.0406280557182458	0.0383975927338157	0.0361816043127656	0.0339925043436564	0.031841875250184	0.0297403306422002	0.0276974032291574	0.025721460359337	0.0238196484336363	0.0219978663031026	0.0202607666655605	0.0186117834926792	0.0170531826966637	0.0155861326216839	0.0142107905378863	0.0129264011267373	Rare driven	0.0507580849759934	0.0287188669356788	1.76741251977926
VRK2	0.00116000204882923	0.0506625355489378	0.0176660444412968	0.0188046667632366	0.0202385724467735	0.0216716048988545	0.0230898012833198	0.0244791216582073	0.0258257728696989	0.0271165111696304	0.0283389118542436	0.0294815975228299	0.0305344200428969	0.0314885946090797	0.0323367871133204	0.0330731582328883	0.0336933691296163	0.0341945544690866	0.0345752687076629	0.034835411389047	0.0349761366812352	0.0349997517007773	0.0349096074241707	0.0345372233109257	0.0334478979291913	0.032287220949659	0.0310648890938398	0.0297910522343801	0.0284761445413557	0.0271307110527718	0.025765234735934	0.0243899691222429	0.0230147813633577	0.0216490100822123	0.0203013417074263	0.0189797081295748	0.0176912075597524	0.0164420494681979	0.0152375234970379	0.0140819913345462	0.0129788997566227	0.0119308124189509	0.0109394575400074	Rare driven	0.0300080087828634	0.022331895722785	1.34372868095773
HIGD1A	0.0013261471209317	0.13818630488195	0.116268555618304	0.122624435070157	0.13051043970954	0.138260264238116	0.145798834380384	0.153053584285873	0.159956062321257	0.166443317170678	0.172459019964428	0.177954299621951	0.182888288853904	0.187228395505151	0.190950327010778	0.194037904259629	0.196482705298211	0.198283579683085	0.199446071771138	0.199981786769915	0.199907727842935	0.199245626723961	0.198021284702813	0.195287071739358	0.18860327593126	0.181626658408237	0.174405611246097	0.166989961422869	0.159430227681014	0.151776865156218	0.144079518950444	0.136386307828459	0.12874315817057	0.121193206263145	0.113776284074916	0.106528500041848	0.0994819223074872	0.0926643676066897	0.0860992948076843	0.0798057982865324	0.0737986930024681	0.0680886805186349	0.0626825833531277	Rare driven	0.180421294237928	0.124968182216858	1.44373784620506
ENSG00000274322	0.00167600472645849	0.186820287304635	0.129605011960086	0.135478421150732	0.142668379511001	0.149627247889284	0.156290815259446	0.162599028562297	0.168497197279996	0.173936949919512	0.178876921666487	0.183283171826676	0.187129346384445	0.190396613834437	0.193073410828521	0.195155038194314	0.196643148070112	0.197545160103059	0.197873639825957	0.197645666383826	0.196882210513339	0.195607537691692	0.193848646075505	0.19068092120027	0.183733886807312	0.176581094605656	0.169263371896028	0.16182267840106	0.154301496866066	0.146742209316425	0.139186476798509	0.131674640640883	0.124245162576388	0.116934119489616	0.109774766193042	0.102797176644989	0.0960279706055448	0.0894901291107974	0.0832028985638615	0.0771817799086206	0.0714385964498918	0.0659816315452083	0.0608158256980207	Rare driven	0.185206259105561	0.120589641033002	1.53583887902008
PNPT1	0.00232107335297232	0.0813279866304315	0.0514946748137746	0.0547415013440785	0.0588256572149383	0.0629028340160711	0.0669341684231978	0.0708807446364754	0.0747044796193525	0.0783689420089962	0.0818400737793791	0.0850867931770343	0.0880814672325951	0.0908002512544604	0.0932233003793395	0.0953348640520954	0.0971232781048451	0.0985808710239054	0.0997038013258329	0.100491842093554	0.100948127052692	0.101078870466307	0.100893070898092	0.0999024750407957	0.0968458703174511	0.0935872883018797	0.0901529319952498	0.086570336383011	0.0828679207393555	0.0790745248237484	0.0752189423913122	0.071329465676098	0.0674334540709878	0.0635569391355954	0.0597242763806435	0.0559578521158348	0.0522778511547586	0.0487020885117202	0.0452459055727535	0.0419221287363725	0.038741086334258	0.0357106778593184	0.0328364882104354	Rare driven	0.0865841302048147	0.0654951966032916	1.32199206499463
TLN2	0.00321804390065589	-0.0633016802617888	0.124195619359247	0.130286192348392	0.137786958396326	0.145097337167683	0.152149129054299	0.158877616039828	0.165222902810025	0.171131021475743	0.176554771190792	0.181454283985997	0.185797326025447	0.189559357783116	0.192723386587478	0.195279650490278	0.197225173906152	0.198563233708318	0.199302770378075	0.199457773323675	0.199046663432622	0.198091689956242	0.196618353410591	0.193686006296803	0.186878657754261	0.179822609779282	0.17256125921882	0.165139415860628	0.157602648211308	0.14999660994863	0.142366366246139	0.134755739556374	0.127206693844699	0.11975877470631	0.112448620367855	0.105309555433598	0.0983712755978967	0.0916596276556664	0.0851964852529786	0.0789997171678057	0.0730832416975438	0.0674571581068577	0.0621279441502522	Rare driven	0.183625805005722	0.123482734275504	1.48705651914082
